ICD9,HCC,HCC.PACE.ESRD,Description
30393,52,55,Alcoh dep NEC/NOS-remiss
30400,52,55,Opioid dependence-unspec
30401,52,55,Opioid dependence-contin
30402,52,55,Opioid dependence-episod
30403,52,55,Opioid dependence-remiss
30410,52,55,"Sed,hyp,anxiolyt dep-NOS"
30411,52,55,"Sed,hyp,anxiolyt dep-con"
30412,52,55,"Sed,hyp,anxiolyt dep-epi"
30413,52,55,"Sed,hyp,anxiolyt dep-rem"
30420,52,55,Cocaine depend-unspec 
30421,52,55,Cocaine depend-contin 
30422,52,55,Cocaine depend-episodic 
30423,52,55,Cocaine depend-remiss 
30430,52,55,Cannabis depend-unspec 
30431,52,55,Cannabis depend-contin 
30432,52,55,Cannabis depend-episodic
30433,52,55,Cannabis depend-remiss 
30440,52,55,Amphetamin depend-unspec
30441,52,55,Amphetamin depend-contin
30442,52,55,Amphetamin depend-episod
30443,52,55,Amphetamin depend-remiss
30450,52,55,Hallucinogen dep-unspec 
30451,52,55,Hallucinogen dep-contin 
30452,52,55,Hallucinogen dep-episod 
30453,52,55,Hallucinogen dep-remiss 
30460,52,55,Drug depend NEC-unspec 
30461,52,55,Drug depend NEC-contin 
30462,52,55,Drug depend NEC-episodic
30463,52,55,Drug depend NEC-in rem 
30470,52,55,Opioid/other dep-unspec 
30471,52,55,Opioid/other dep-contin 
30472,52,55,Opioid/other dep-episod 
30473,52,55,Opioid/other dep-remiss 
30480,52,55,Comb drug dep NEC-unspec
30481,52,55,Comb drug dep NEC-contin
30482,52,55,Comb drug dep NEC-episod
30483,52,55,Comb drug dep NEC-remiss
30490,52,55,Drug depend NOS-unspec 
30491,52,55,Drug depend NOS-contin 
30492,52,55,Drug depend NOS-episodic
30493,52,55,Drug depend NOS-remiss 
3071 ,,,Anorexia nervosa 
30723,,,Tourette's disorder 
3073 ,,,Stereotypic movement dis
30751,,,Bulimia nervosa 
3091 ,,,Prolong depressive react
30981,,,Posttraumatic stress dis
311 ,,,Depressive disorder NEC 
31200,,,Unsocial aggress-unspec 
31201,,,Unsocial aggression-mild
31202,,,Unsocial aggression-mod 
31203,,,Unsocial aggress-severe 
31210,,,Unsocial unaggress-unsp 
31211,,,Unsocial unaggress-mild 
31212,,,Unsocial unaggress-mod 
31213,,,Unsocial unaggr-severe 
31220,,,Social conduct dis-unsp 
31221,,,Social conduct dis-mild 
31222,,,Social conduct dis-mod 
31223,,,Social conduct dis-sev 
31230,,,Impulse control dis NOS 
31231,,,Pathological gambling 
31232,,,Kleptomania 
31233,,,Pyromania 
31234,,,Intermitt explosive dis 
31235,,,Isolated explosive dis 
31239,,,Impulse control dis NEC 
3124 ,,,Mix dis conduct/emotion 
31281,,,Cndct dsrdr chldhd onst 
31282,,,Cndct dsrdr adlscnt onst
31289,,,Other conduct disorder 
3129 ,,,Conduct disturbance NOS 
31381,,,Opposition defiant disor
31400,,,Attn defic nonhyperact 
31401,,,Attn deficit w hyperact 
3141 ,,,Hyperkinet w devel delay
3142 ,,,Hyperkinetic conduct dis
3148 ,,,Other hyperkinetic synd 
3149 ,,,Hyperkinetic synd NOS 
317 ,,,Mild intellect disabilty
3180 ,,,Mod intellect disability
3181 ,,,Sev intellect disability
3182 ,,,Profnd intellct disablty
319 ,,,Intellect disability NOS
3210 ,5,6,Cryptococcal meningitis 
32302,,72,Myelitis-oth viral dis 
32342,,72,Oth myelitis ot inf else
32352,,72,Myelitis follwg immune 
32363,,72,Postinfectious myelitis 
32372,,72,Toxic myelitis 
32382,,72,Myelitis cause NEC 
3300 ,,52,Leukodystrophy 
3301 ,,52,Cerebral lipidoses 
3302 ,,52,Cereb degen in lipidosis
3303 ,,52,Cerb deg chld in oth dis
3308 ,,52,Cereb degen in child NEC
3309 ,,52,Cereb degen in child NOS
3310 ,,52,Alzheimer's disease 
33111,,52,Pick's disease 
33119,,52,Frontotemp dementia NEC 
3312 ,,52,Senile degenerat brain 
3313 ,,51,Communicat hydrocephalus
3314 ,,51,Obstructiv hydrocephalus
3315 ,,51,Norml pressure hydroceph
3316 ,,52,Corticobasal degneration
3317 ,,52,Cereb degen in oth dis 
33181,,52,Reye's syndrome 
33182,,52,Dementia w Lewy bodies 
33189,,52,Cereb degeneration NEC 
3319 ,,52,Cereb degeneration NOS 
3320 ,73,78,Paralysis agitans 
3321 ,73,78,Secondary parkinsonism 
3330 ,73,78,Degen basal ganglia NEC 
3334 ,73,78,Huntington's chorea 
33371,101,74,Athetoid cerebral palsy 
3340 ,69,72,Friedreich's ataxia 
3341 ,69,72,Hered spastic paraplegia
3342 ,69,72,Primary cerebellar degen
3343 ,69,72,Cerebellar ataxia NEC 
3344 ,69,72,Cerebel atax in oth dis 
3348 ,69,72,Spinocerebellar dis NEC 
3349 ,69,72,Spinocerebellar dis NOS 
3350 ,67,72,Werdnig-hoffmann disease
33510,67,72,Spinal muscl atrophy NOS
33511,67,72,Kugelberg-welander dis 
33519,67,72,Spinal muscl atrophy NEC
33520,67,73,Amyotrophic sclerosis 
33521,67,73,Prog muscular atrophy 
33522,67,73,Progressive bulbar palsy
33523,67,73,Pseudobulbar palsy 
33524,67,73,Prim lateral sclerosis 
33529,67,73,Motor neuron disease NEC
3358 ,67,72,Ant horn cell dis NEC 
3359 ,67,72,Ant horn cell dis NOS 
3360 ,69,72,Syringomyelia 
3361 ,69,72,Vascular myelopathies 
3362 ,69,72,Comb deg cord in oth dis
3363 ,69,72,Myelopathy in oth dis 
3368 ,69,72,Myelopathy NEC 
3369 ,69,72,Spinal cord disease NOS 
33700,71,75,Idio perph auto neur NOS
33701,,75,Carotid sinus syndrome 
33709,71,75,Idio perph auto neur NEC
3371 ,71,75,Aut neuropthy in oth dis
33720,71,75,Unsp rflx sympth dystrph
33721,71,75,Rflx sym dystrph up limb
33722,71,75,Rflx sym dystrph lwr lmb
33729,71,75,Rflx sym dystrph oth st 
3373 ,71,75,Autonomic dysreflexia 
3379 ,71,75,Autonomic nerve dis NEC 
340 ,72,77,Multiple sclerosis 
3410 ,72,77,Neuromyelitis optica 
3411 ,72,77,Schilder's disease 
34120,,72,Acute myelitis NOS 
34121,,72,Acute myelitis oth cond 
34122,,72,Idiopathc trans myelitis
3418 ,72,77,Cns demyelination NEC 
3419 ,72,77,Cns demyelination NOS 
34200,100,103,Flccd hmiplga unspf side
34201,100,103,Flccd hmiplga domnt side
34202,100,103,Flccd hmiplg nondmnt sde
34210,100,103,Spstc hmiplga unspf side
34211,100,103,Spstc hmiplga domnt side
34212,100,103,Spstc hmiplg nondmnt sde
34280,100,103,Ot sp hmiplga unspf side
34281,100,103,Ot sp hmiplga domnt side
34282,100,103,Ot sp hmiplg nondmnt sde
34290,100,103,Unsp hemiplga unspf side
34291,100,103,Unsp hemiplga domnt side
34292,100,103,Unsp hmiplga nondmnt sde
3430 ,68,74,Congenital diplegia 
3431 ,100,74,Congenital hemiplegia 
3432 ,67,74,Congenital quadriplegia 
3433 ,101,74,Congenital monoplegia 
3434 ,100,74,Infantile hemiplegia 
3438 ,101,74,Cerebral palsy NEC 
3439 ,101,74,Cerebral palsy NOS 
34400,67,70,"Quadriplegia, unspecifd "
34401,67,70,"Quadrplg c1-c4, complete"
34402,67,70,"Quadrplg c1-c4, incomplt"
34403,67,70,"Quadrplg c5-c7, complete"
34404,67,70,"Quadrplg c5-c7, incomplt"
34409,67,70,Other quadriplegia 
3441 ,68,71,Paraplegia NOS 
3442 ,101,104,Diplegia of upper limbs 
34430,101,104,Monplga lwr lmb unsp sde
34431,101,104,Monplga lwr lmb dmnt sde
34432,101,104,Mnplg lwr lmb nondmnt sd
34440,101,104,Monplga upr lmb unsp sde
34441,101,104,Monplga upr lmb dmnt sde
34442,101,104,Mnplg upr lmb nondmnt sd
3445 ,101,104,Monoplegia NOS 
34460,69,72,Cauda equina synd NOS 
34461,69,72,Neurogenic bladder 
34481,67,104,Locked-in state 
34489,101,104,Oth spcf paralytic synd 
3449 ,101,104,Paralysis NOS 
34500,74,79,Gen noncv ep w/o intr ep
34501,74,79,Gen nonconv ep w intr ep
34510,74,79,Gen cnv epil w/o intr ep
34511,74,79,Gen cnv epil w intr epil
3452 ,74,79,Petit mal status 
3453 ,74,79,Grand mal status 
34540,74,79,Psymotr epil w/o int epi
34541,74,79,Psymotr epil w intr epil
34550,74,79,Part epil w/o intr epil 
34551,74,79,Part epil w intr epil 
34560,74,79,Inf spasm w/o intr epil 
34561,74,79,Inf spasm w intract epil
34570,74,79,Epil par cont w/o int ep
34571,74,79,Epil par cont w intr epi
34580,74,79,Epilep NEC w/o intr epil
34581,74,79,Epilepsy NEC w intr epil
34590,74,79,Epilep NOS w/o intr epil
34591,74,79,Epilepsy NOS w intr epil
34600,,,Mgrn w aura wo ntrc mgrn
34601,,,Mgrn w aura w ntrc mgrn 
34602,,,Mgrn w aur wo ntrc mgrn 
34603,,,Mgrn w aura w ntrc mgrn 
34610,,,Mgrn wo aura wo ntrc mgr
34611,,,Mgrn wo aura w ntrc mgrn
34612,,,Mgrn wo aura wo ntrc mgr
34613,,,Mgrn wo aura w ntrc mgrn
34620,,,Vrnt mgrn wo ntr mgr NEC
34621,,,Vrnt mgrn w ntrc mgr NEC
34622,,,Var mgr NEC wo ntc mgr 
34623,,,Var mgrn NEC w ntrc mgr 
34630,,,Hmplg mgr wo ntrc wo st 
34631,,,Hmplg mgrn w ntrc wo st 
34632,,,Hemplg mgr wo ntrc w st 
34633,,,Hmplg mgrn w ntrc w st 
34640,,,Menst mgr wo ntrc wo st 
34641,,,Menstl mgrn w ntrc wo st
34642,,,Menstl mgr wo ntrc w st 
34643,,,Menstl mgrn w ntrc w st 
34650,,,Prst aura wo inf/ntr/st 
34651,,,Prs ara w ntr wo inf/st 
34652,,,Prs ara wo inf/ntr w st 
34653,,,Prs ara wo inf w ntr/st 
34660,,,Prs ara w inf wo ntr/st 
34661,,,Prs ara w/inf/ntr wo st 
34662,,,Prs ara wo ntr w inf/st 
34663,,,Prst ara w inf w ntr/st 
34670,,,Ch mgr wo ar wo nt wo st
34671,,,Ch mgr wo ara w nt wo st
34672,,,Ch mgr wo ara wo nt w st
34673,,,Ch mgr wo ara w ntr w st
34680,,,Othr migrne wo ntrc mgrn
34681,,,Othr migrne w ntrc mgrne
34682,,,Oth mgr wo ntrc w st mgr
34683,,,Oth mgr w ntrc w st mgr 
34690,,,Migrne unsp wo ntrc mgrn
34691,,,Mgrn unsp w ntrc mgr std
34692,,,Mgr NOS wo ntrc w st mgr
34693,,,Mgrn NOS w ntrc w st mgr
34700,,,Narcolepsy w/o cataplexy
34701,,,Narcolepsy w cataplexy 
34710,,,Narclpsy w/o cat oth dis
34711,,,Narcolepsy w cat oth dis
3481 ,75,80,Anoxic brain damage 
3484 ,75,80,Compression of brain 
3485 ,75,80,Cerebral edema 
3491 ,164,176,Complication cns device 
3501 ,,,Trigeminal neuralgia 
3502 ,,,Atypical face pain 
3508 ,,,Trigeminal nerve dis NEC
3509 ,,,Trigeminal nerve dis NOS
3536 ,177,189,Phantom limb (syndrome) 
3560 ,71,75,Hered periph neuropathy 
3561 ,71,75,Peroneal muscle atrophy 
3562 ,71,75,Hered sensory neuropathy
3563 ,71,75,Refsum's disease 
3564 ,71,75,Idio prog polyneuropathy
3568 ,71,75,Idio periph neurpthy NEC
3569 ,71,75,Idio periph neurpthy NOS
3570 ,71,75,Ac infect polyneuritis 
3571 ,71,75,Neurpthy in col vasc dis
3572 ,71,75,Neuropathy in diabetes 
3573 ,71,75,Neuropathy in malig dis 
3574 ,71,75,Neuropathy in other dis 
3575 ,71,75,Alcoholic polyneuropathy
3576 ,71,75,Neuropathy due to drugs 
3577 ,71,75,Neurpthy toxic agent NEC
35781,71,75,Chr inflam polyneuritis 
35782,71,75,Crit illness neuropathy 
35789,71,75,Inflam/tox neuropthy NEC
3579 ,71,75,Inflam/tox neuropthy NOS
35800,71,75,Mysthna grvs w/o ac exac
35801,71,75,Myasthna gravs w ac exac
3581 ,71,75,Myasthenia in oth dis 
3582 ,71,75,Toxic myoneural disorder
35830,71,75,Lambert-Eaton synd NOS 
35831,71,75,Lambert-Eaton synd neopl
35839,71,75,Lambert-Eaton syn ot dis
3588 ,71,75,Myoneural disorders NEC 
3589 ,71,75,Myoneural disorders NOS 
3590 ,70,76,Cong hered musc dystrphy
3591 ,70,76,Hered prog musc dystrphy
35921,70,76,Myotonic musclr dystrphy
35922,71,75,Myotonia congenita 
35923,71,75,Myotonic chondrodystrphy
35924,71,75,Drug induced myotonia 
35929,71,75,Myotonic disorder NEC 
3593 ,71,75,Periodic paralysis 
3594 ,71,75,Toxic myopathy 
3595 ,71,75,Myopathy in endocrin dis
3596 ,71,75,Infl myopathy in oth dis
35971,71,75,Inclusion body myositis 
35979,71,75,Inflm/immune myopath NEC
35981,71,75,Critical illness myopthy
35989,71,75,Myopathies NEC 
3599 ,71,75,Myopathy NOS 
36201,,18,Diabetic retinopathy NOS
36202,119,122,Prolif diab retinopathy 
36203,,18,Nonprolf db retnoph NOS 
36204,,18,Mild nonprolf db retnoph
36205,,18,Mod nonprolf db retinoph
36206,,18,Sev nonprolf db retinoph
36207,,18,Diabetic macular edema 
36252,,124,Exudative macular degen 
36510,,,Open-angle glaucoma NOS 
36511,,,Prim open angle glaucoma
36512,,,Low tension glaucoma 
36513,,,Pigmentary glaucoma 
36514,,,Glaucoma of childhood 
36515,,,Residual opn ang glaucma
36641,,18,Diabetic cataract 
37923,119,122,Vitreous hemorrhage 
39891,,85,Rheumatic heart failure 
4010 ,,,Malignant hypertension 
4011 ,,,Benign hypertension 
4019 ,,,Hypertension NOS 
40200,,,Mal hyp ht dis w/o hf 
40201,80,85,Mal hypert hrt dis w hf 
40210,,,Benign hyp ht dis w/o hf
40211,80,85,Benign hyp ht dis w hf 
40290,,,Hyp hrt dis NOS w/o hf 
40291,80,85,Hyp ht dis NOS w ht fail
40300,,139,Mal hy kid w cr kid I-IV
40301,131,136,Mal hyp kid w cr kid V 
40310,,139,Ben hy kid w cr kid I-IV
40311,131,136,Ben hyp kid w cr kid V 
40390,,139,Hy kid NOS w cr kid I-IV
40391,131,136,Hyp kid NOS w cr kid V 
40400,,139,Mal hy ht/kd I-IV w/o hf
40401,80,139,Mal hyp ht/kd I-IV w hf 
40402,131,136,Mal hy ht/kd st V w/o hf
40403,131,136,Mal hyp ht/kd stg V w hf
40410,,139,Ben hy ht/kd I-IV w/o hf
40411,80,139,Ben hyp ht/kd I-IV w hf 
40412,131,136,Ben hy ht/kd st V w/o hf
40413,131,136,Ben hyp ht/kd stg V w hf
40490,,139,Hy ht/kd NOS I-IV w/o hf
40491,80,139,Hyp ht/kd NOS I-IV w hf 
40492,131,136,Hy ht/kd NOS st V w/o hf
40493,131,136,Hyp ht/kd NOS st V w hf 
40501,,,Mal renovasc hypertens 
40509,,,Mal second hyperten NEC 
40511,,,Benign renovasc hyperten
40519,,,Benign second hypert NEC
40591,,,Renovasc hypertension 
40599,,,Second hypertension NEC 
41000,82,87,"AMI anterolateral,unspec"
41001,81,86,"AMI anterolateral, init "
41002,82,87,"AMI anterolateral,subseq"
41010,82,87,"AMI anterior wall,unspec"
41011,81,86,"AMI anterior wall, init "
41012,82,87,"AMI anterior wall,subseq"
41020,82,87,"AMI inferolateral,unspec"
41021,81,86,"AMI inferolateral, init "
41022,82,87,"AMI inferolateral,subseq"
41030,82,87,"AMI inferopost, unspec "
41031,81,86,"AMI inferopost, initial "
41032,82,87,"AMI inferopost, subseq "
41040,82,87,"AMI inferior wall,unspec"
41041,81,86,"AMI inferior wall, init "
41042,82,87,"AMI inferior wall,subseq"
41050,82,87,"AMI lateral NEC, unspec "
41051,81,86,"AMI lateral NEC, initial"
41052,82,87,"AMI lateral NEC, subseq "
41060,82,87,"True post infarct,unspec"
41061,81,86,"True post infarct, init "
41062,82,87,"True post infarct,subseq"
41070,82,87,"Subendo infarct, unspec "
41071,81,86,"Subendo infarct, initial"
41072,82,87,"Subendo infarct, subseq "
41080,82,87,"AMI NEC, unspecified "
41081,81,86,"AMI NEC, initial "
41082,82,87,"AMI NEC, subsequent "
41090,82,87,"AMI NOS, unspecified "
41091,81,86,"AMI NOS, initial "
41092,82,87,"AMI NOS, subsequent "
4110 ,82,87,Post MI syndrome 
4111 ,82,87,Intermed coronary synd 
41181,82,87,Acute cor occlsn w/o MI 
41189,82,87,Ac ischemic hrt dis NEC 
412 ,83,,Old myocardial infarct 
4130 ,83,88,Angina decubitus 
4131 ,83,88,Prinzmetal angina 
4139 ,83,88,Angina pectoris NEC/NOS 
41400,,,Cor ath unsp vsl ntv/gft
41401,,,Crnry athrscl natve vssl
41402,,,Crn ath atlg vn bps grft
41403,,,Crn ath nonatlg blg grft
41404,,,Cor ath artry bypas grft
41405,,,Cor ath bypass graft NOS
41406,,,Cor ath natv art tp hrt 
41407,,,Cor ath bps graft tp hrt
41410,,,Aneurysm of heart 
41411,,,Aneurysm coronary vessel
41412,,,Dissection cor artery 
41419,,,Aneurysm of heart NEC 
4142 ,,,Chr tot occlus cor artry
4143 ,,,Cor ath d/t lpd rch plaq
4144 ,,,Cor ath d/t calc cor lsn
4148 ,,,Chr ischemic hrt dis NEC
4149 ,,,Chr ischemic hrt dis NOS
4150 ,80,85,Acute cor pulmonale 
41511,104,107,Iatrogen pulm emb/infarc
41512,104,107,Septic pulmonary embolsm
41513,104,107,Saddle embol pulmon art 
41519,104,107,Pulm embol/infarct NEC 
4160 ,80,85,Prim pulm hypertension 
4161 ,80,85,Kyphoscoliotic heart dis
4162 ,104,107,Chr pulmonary embolism 
4168 ,80,85,Chr pulmon heart dis NEC
4169 ,80,85,Chr pulmon heart dis NOS
4170 ,80,85,Arterioven fistu pul ves
4171 ,80,85,Pulmon artery aneurysm 
4178 ,80,85,Pulmon circulat dis NEC 
4179 ,80,85,Pulmon circulat dis NOS 
4250 ,80,85,Endomyocardial fibrosis 
42511,80,85,Hyprtrophc obst cardiomy
42518,80,85,Oth hyprtrophic cardiomy
4252 ,80,85,Obsc afric cardiomyopath
4253 ,80,85,Endocard fibroelastosis 
4254 ,80,85,Prim cardiomyopathy NEC 
4255 ,80,85,Alcoholic cardiomyopathy
4257 ,80,85,Metabolic cardiomyopathy
4258 ,80,85,Cardiomyopath in oth dis
4259 ,80,85,Second cardiomyopath NOS
4260 ,92,96,Atriovent block complete
4270 ,92,96,Parox atrial tachycardia
4271 ,92,96,Parox ventric tachycard 
4272 ,92,96,Parox tachycardia NOS 
42731,92,96,Atrial fibrillation 
42732,92,96,Atrial flutter 
42741,79,84,Ventricular fibrillation
42742,79,84,Ventricular flutter 
4275 ,79,84,Cardiac arrest 
42781,92,96,Sinoatrial node dysfunct
4280 ,80,85,CHF NOS 
4281 ,80,85,Left heart failure 
42820,80,85,Systolic hrt failure NOS
42821,80,85,Ac systolic hrt failure 
42822,80,85,Chr systolic hrt failure
42823,80,85,Ac on chr syst hrt fail 
42830,80,85,Diastolc hrt failure NOS
42831,80,85,Ac diastolic hrt failure
42832,80,85,Chr diastolic hrt fail 
42833,80,85,Ac on chr diast hrt fail
42840,80,85,Syst/diast hrt fail NOS 
42841,80,85,Ac syst/diastol hrt fail
42842,80,85,Chr syst/diastl hrt fail
42843,80,85,Ac/chr syst/dia hrt fail
4289 ,80,85,Heart failure NOS 
4290 ,80,85,Myocarditis NOS 
4291 ,80,85,Myocardial degeneration 
4295 ,81,86,Chordae tendinae rupture
4296 ,81,86,Papillary muscle rupture
430 ,95,99,Subarachnoid hemorrhage 
431 ,95,99,Intracerebral hemorrhage
4320 ,95,99,Nontraum extradural hem 
4321 ,95,99,Subdural hemorrhage 
4329 ,95,99,Intracranial hemorr NOS 
43300,,,Ocl bslr art wo infrct 
43301,96,100,Ocl bslr art w infrct 
43310,,,Ocl crtd art wo infrct 
43311,96,100,Ocl crtd art w infrct 
43320,,,Ocl vrtb art wo infrct 
43321,96,100,Ocl vrtb art w infrct 
43330,,,Ocl mlt bi art wo infrct
43331,96,100,Ocl mlt bi art w infrct 
43380,,,Ocl spcf art wo infrct 
43381,96,100,Ocl spcf art w infrct 
43390,,,Ocl art NOS wo infrct 
43391,96,100,Ocl art NOS w infrct 
43400,,,Crbl thrmbs wo infrct 
43401,96,100,Crbl thrmbs w infrct 
43410,,,Crbl emblsm wo infrct 
43411,96,100,Crbl emblsm w infrct 
43490,,,Crbl art oc NOS wo infrc
43491,96,100,Crbl art ocl NOS w infrc
4350 ,,,Basilar artery syndrome 
4351 ,,,Vertebral artery syndrom
4352 ,,,Subclavian steal syndrom
4353 ,,,Vertbrobaslr artery synd
4358 ,,,Trans cereb ischemia NEC
4359 ,,,Trans cereb ischemia NOS
436 ,96,100,Cva 
4370 ,,,Cerebral atherosclerosis
4371 ,,,Ac cerebrovasc insuf NOS
4372 ,,,Hypertens encephalopathy
4374 ,,,Cerebral arteritis 
4375 ,,,Moyamoya disease 
4376 ,,,Nonpyogen thrombos sinus
4378 ,,,Cerebrovasc disease NEC 
4379 ,,,Cerebrovasc disease NOS 
43820,100,103,Late ef-hemplga side NOS
43821,100,103,Late ef-hemplga dom side
43822,100,103,Late ef-hemiplga non-dom
43830,101,104,Late ef-mplga up lmb NOS
43831,101,104,Late ef-mplga up lmb dom
43832,101,104,Lt ef-mplga uplmb nondom
43840,101,104,Lte ef-mplga low lmb NOS
43841,101,104,Lte ef-mplga low lmb dom
43842,101,104,Lt ef-mplga lowlmb nondm
43850,101,104,Lt ef oth paral side NOS
43851,101,104,Lt ef oth paral dom side
43852,101,104,Lt ef oth parals non-dom
43853,101,104,Lt ef oth parals-bilat 
4400 ,105,108,Aortic atherosclerosis 
4401 ,105,108,Renal artery atheroscler
44020,105,108,Athscl extrm ntv art NOS
44021,105,108,Ath ext ntv at w claudct
44022,105,108,Ath ext ntv at w rst pn 
44023,104,106,Ath ext ntv art ulcrtion
44024,104,106,Ath ext ntv art gngrene 
44029,105,108,Athrsc extrm ntv art oth
44030,105,108,Athscl extrm bps gft NOS
44031,105,108,Ath ext autologs bps gft
44032,105,108,Ath ext nonautlg bps gft
4404 ,105,108,Chr tot occl art extrem 
44100,104,107,Dsct of aorta unsp site 
44101,104,107,Dsct of thoracic aorta 
44102,104,107,Dsct of abdominal aorta 
44103,104,107,Dsct of thoracoabd aorta
4411 ,104,107,Ruptur thoracic aneurysm
4412 ,105,108,Thoracic aortic aneurysm
4413 ,104,107,Rupt abd aortic aneurysm
4414 ,105,108,Abdom aortic aneurysm 
4415 ,104,107,Rupt aortic aneurysm NOS
4416 ,104,107,Thoracoabd aneurysm rupt
4417 ,105,108,Thracabd anurysm wo rupt
4419 ,105,108,Aortic aneurysm NOS 
4420 ,105,108,Upper extremity aneurysm
4421 ,105,108,Renal artery aneurysm 
4422 ,105,108,Iliac artery aneurysm 
4423 ,105,108,Lower extremity aneurysm
44281,105,108,Aneurysm of neck 
44282,105,108,Subclavian aneurysm 
44283,105,108,Splenic artery aneurysm 
44284,105,108,Visceral aneurysm NEC 
44289,105,108,Aneurysm NEC 
4429 ,105,108,Aneurysm NOS 
4431 ,105,108,Thromboangiit obliterans
44321,104,107,Dissect carotid artery 
44322,104,107,Dissection iliac artery 
44323,104,107,Dissection renal artery 
44324,104,107,Dissect vertebral artery
44329,104,107,Dissection artery NEC 
44381,105,108,Angiopathy in other dis 
44382,105,108,Erythromelalgia 
44389,105,108,Periph vascular dis NEC 
4439 ,105,108,Periph vascular dis NOS 
44401,104,107,Saddle embolus abd aorta
44409,104,107,Ot art emb/thrm abd aort
4441 ,104,107,Thoracic aortic embolism
44421,104,107,Upper extremity embolism
44422,104,107,Lower extremity embolism
44481,104,107,Iliac artery embolism 
44489,104,107,Arterial embolism NEC 
4449 ,104,107,Arterial embolism NOS 
44501,104,107,"Atheroembolism,upper ext"
44502,104,107,"Atheroembolism,lower ext"
44581,104,107,"Atheroembolism, kidney "
44589,104,107,"Atheroembolism, site NEC"
4460 ,38,40,Polyarteritis nodosa 
4461 ,38,40,Mucocutan lymph node syn
44620,38,40,Hypersensit angiitis NOS
44621,38,40,Goodpasture's syndrome 
44629,38,40,Hypersensit angiitis NEC
4463 ,38,40,Lethal midline granuloma
4464 ,38,40,Wegener's granulomatosis
4465 ,38,40,Giant cell arteritis 
4466 ,38,40,Thrombot microangiopathy
4467 ,38,40,Takayasu's disease 
4470 ,105,108,Acq arterioven fistula 
4471 ,105,108,Stricture of artery 
4472 ,105,108,Rupture of artery 
4473 ,105,108,Renal artery hyperplasia
4474 ,105,108,Celiac art compress syn 
4475 ,105,108,Necrosis of artery 
4476 ,105,108,Arteritis NOS 
44770,105,108,"Aortic ectasia, site NOS"
44771,105,108,Thoracic aortic ectasia 
44772,105,108,Abdominal aortic ectasia
44773,105,108,Thoracoabd aortc ectasia
4478 ,105,108,Arterial disease NEC 
4479 ,105,108,Arterial disease NOS 
4480 ,105,108,Heredit hemorr telangiec
449 ,104,107,Septic arterial embolism
45111,105,108,Femoral vein phlebitis 
45119,105,108,Deep phlebitis-leg NEC 
45181,105,108,Iliac thrombophlebitis 
45183,105,108,Phlbts deep vn up extrm 
4530 ,105,108,Budd-chiari syndrome 
4532 ,105,108,Oth inf vena cava thromb
4533 ,105,108,Renal vein thrombosis 
45340,105,108,Ac DVT/embl low ext NOS 
45341,105,108,Ac DVT/emb prox low ext 
45342,105,108,Ac DVT/emb distl low ext
45350,105,108,Ch DVT/embl low ext NOS 
45351,105,108,Ch DVT/embl prox low ext
45352,105,108,Ch DVT/embl dstl low ext
45372,105,108,Ch DVT/embl up ext 
45374,105,108,Ch emblsm axillary veins
45375,105,108,Ch emblsm subclav veins 
45376,105,108,Ch embl internl jug vein
45377,105,108,Ch embl thorac vein NEC 
45382,105,108,Ac DVT/embl up ext 
45384,105,108,Ac emblsm axillary veins
45385,105,108,Ac embl subclav veins 
45386,105,108,Ac embl internl jug vein
45387,105,108,Ac embl thorac vein NEC 
4540 ,,107,Leg varicosity w ulcer 
4542 ,,107,Varicos leg ulcer/inflam
4560 ,25,27,Esophag varices w bleed 
4561 ,25,27,Esoph varices w/o bleed 
45620,25,27,Bleed esoph var oth dis 
45621,25,27,Esoph varice oth dis NOS
45911,,107,Postphlebtc synd w ulcer
45913,,107,Postphl syn w ulc&inflam
45931,,107,Chr venous hyper w ulcer
45933,,107,Chr ven hyp w ulc&inflam
481 ,112,115,Pneumococcal pneumonia 
4820 ,111,114,K. pneumoniae pneumonia 
4821 ,111,114,Pseudomonal pneumonia 
4822 ,112,115,H.influenzae pneumonia 
48230,112,115,Streptococcal pneumn NOS
48231,112,115,Pneumonia strptococcus a
48232,112,115,Pneumonia strptococcus b
48239,112,115,Pneumonia oth strep 
48240,111,114,Staphylococcal pneu NOS 
48241,111,114,Meth sus pneum d/t Staph
48242,111,114,Meth res pneu d/t Staph 
48249,111,114,Staph pneumonia NEC 
48281,111,114,Pneumonia anaerobes 
48282,111,114,Pneumonia e coli 
48283,111,114,Pneumo oth grm-neg bact 
48284,111,114,Legionnaires' disease 
48289,111,114,Pneumonia oth spcf bact 
4841 ,5,6,Pneum w cytomeg incl dis
4846 ,112,6,Pneum in aspergillosis 
4847 ,112,115,Pneum in oth sys mycoses
4910 ,108,111,Simple chr bronchitis 
4911 ,108,111,Mucopurul chr bronchitis
49120,108,111,Obst chr bronc w/o exac 
49121,108,111,Obs chr bronc w(ac) exac
49122,108,111,Obs chr bronc w ac bronc
4918 ,108,111,Chronic bronchitis NEC 
4919 ,108,111,Chronic bronchitis NOS 
4920 ,108,111,Emphysematous bleb 
4928 ,108,111,Emphysema NEC 
49300,,,Extrinsic asthma NOS 
49301,,,Ext asthma w status asth
49302,,,Ext asthma w(acute) exac
49310,,,Intrinsic asthma NOS 
49311,,,Int asthma w status asth
49312,,,Int asthma w (ac) exac 
